L 1024 T 2.269200
x 948 value 0.250268
x 949 value 0.251355
x 950 value 0.252411
x 951 value 0.252617
x 952 value 0.253544
x 953 value 0.254348
x 954 value 0.254713
x 955 value 0.255468
x 956 value 0.256330
x 957 value 0.257132
x 958 value 0.257814
x 959 value 0.259120
x 960 value 0.260063
x 961 value 0.261239
x 962 value 0.261687
x 963 value 0.262500
x 964 value 0.263708
x 965 value 0.264603
x 966 value 0.264622
x 967 value 0.266322
x 968 value 0.267907
x 969 value 0.268508
x 970 value 0.269365
x 971 value 0.270280
x 972 value 0.271335
x 973 value 0.272004
x 974 value 0.274081
x 975 value 0.275207
x 976 value 0.276513
x 977 value 0.277752
x 978 value 0.278404
x 979 value 0.280541
x 980 value 0.282059
x 981 value 0.282890
x 982 value 0.284780
x 983 value 0.286476
x 984 value 0.287505
x 985 value 0.289154
x 986 value 0.290946
x 987 value 0.293218
x 988 value 0.293887
x 989 value 0.296460
x 990 value 0.298537
x 991 value 0.300187
x 992 value 0.302866
x 993 value 0.304420
x 994 value 0.306977
x 995 value 0.309250
x 996 value 0.311997
x 997 value 0.314919
x 998 value 0.317849
x 999 value 0.320650
x 1000 value 0.323776
x 1001 value 0.326920
x 1002 value 0.330039
x 1003 value 0.333784
x 1004 value 0.337389
x 1005 value 0.341715
x 1006 value 0.346107
x 1007 value 0.351262
x 1008 value 0.355740
x 1009 value 0.361823
x 1010 value 0.367412
x 1011 value 0.374465
x 1012 value 0.381271
x 1013 value 0.389388
x 1014 value 0.398784
x 1015 value 0.409131
x 1016 value 0.420667
x 1017 value 0.435321
x 1018 value 0.451584
x 1019 value 0.472390
x 1020 value 0.499418
x 1021 value 0.536898
x 1022 value 0.595299
x 1023 value 0.707710
